Season,Name,Team,IP,ERA,K/BB,AVG,WHIP,BABIP,FIP,LD%,GB%,FB%,IFFB%,HR/FB,xFIP,SwStr%,K%,BB%,K-BB%,SIERA,E-F,FA-Z (sc),Barrel%,HardHit%,xERA,Stf+ FA,Stuff+,Location+,Pitching+,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
2023,Mitch Keller,PIT,194.1,4.214408344,3.81818182,0.246701847,1.245283051,0.309751434,3.800494919,0.223853211,0.436697247,0.339449541,0.075675675,0.135135135,3.702056192,0.09673286,0.25454545,0.06666667,0.18787879,3.825125363,0.413913424,8.718150882,0.08576642,0.35583942,,100.1619632,103.7525337,102.6384541,102.925882,0.31073113,0.67463106,0.47675537,0.69639469,0.85208333,0.79690652,0.45623597,0.18577835,0.28251121,Mitch Keller,17594,656605
2024,Seth Lugo,KCR,166.2,3.024000185,3.4047619,0.222044728,1.086000066,0.26652452,3.441250986,0.197064989,0.4360587,0.36687631,0.085714285,0.08,3.936563284,0.09615385,0.21153846,0.06213018,0.14940828,4.047481518,-0.417250801,8.945293456,0.07867495,0.40165631,,75.46661466,96.94695513,100.0598157,99.28301282,0.30888575,0.65584416,0.45873397,0.62100457,0.89533239,0.79039301,0.43189103,0.18629808,0.28245192,Seth Lugo,12447,607625
2023,Roansy Contreras,PIT,54.1,6.128834499,1.68,0.285046729,1.582822123,0.327272727,4.819457574,0.223529411,0.358823529,0.417647058,0.070422535,0.098591549,5.305125828,0.10549451,0.175,0.10416667,0.07083333,5.338126837,1.309376925,9.700063016,0.0872093,0.4244186,,89.01910995,97.62310231,99.85962596,100.9634763,0.31066176,0.68219178,0.45984598,0.6035503,0.88353414,0.77033493,0.40154015,0.17692308,0.28241758,Roansy Contreras,22810,672710
2022,Paolo Espino,WSN,83.2,5.808765117,3.52631579,0.296829971,1.458167375,0.313953488,5.682152195,0.189781021,0.405109489,0.405109489,0.045045045,0.198198198,4.22782152,0.08591549,0.18206522,0.05163043,0.13043478,4.235740055,0.126612921,10.95179036,0.07857143,0.425,,68.37391304,73.76427061,100.7754052,99.50916138,0.29064039,0.64967105,0.4443662,0.66525424,0.89113924,0.8066561,0.42816901,0.19647887,0.28239437,Paolo Espino,8246,502179
2023,Bobby Miller,LAD,124.1,3.764075221,3.71875,0.2248394,1.101876721,0.276785714,3.512413024,0.197674418,0.476744186,0.325581395,0.080357142,0.107142857,3.747067697,0.11314985,0.23564356,0.06336634,0.17227723,3.932411776,0.251662197,9.853074708,0.06034483,0.37356322,,130.1634921,123.2146142,102.0902402,109.840419,0.31555556,0.69976077,0.47934727,0.62535211,0.84786325,0.76382979,0.42631311,0.16921509,0.28236493,Bobby Miller,27483,676272
2022,Nick Martinez,SDP,52.1,4.299363162,1.74074074,0.267326733,1.547770738,0.308219178,5.157017039,0.212903225,0.458064516,0.329032258,0.058823529,0.176470588,4.364001216,0.11466373,0.20434783,0.1173913,0.08695652,4.660816335,-0.857653877,10.09426902,0.10967742,0.44516129,,93.11546763,101.1567806,101.4363837,103.62172,0.35802469,0.66764706,0.47409041,0.67487685,0.83259912,0.75813953,0.37486218,0.16758545,0.28224917,Nick Martinez,12730,607259
2022,Julio Urías,LAD,175,2.16,4.04878049,0.197511664,0.96,0.22907489,3.712431002,0.150743099,0.3970276,0.452229299,0.14084507,0.10798122,3.805680619,0.11098398,0.24092888,0.05950653,0.18142235,3.659023231,-1.552431002,9.596323405,0.06708595,0.30188679,,116.3927188,118.0502862,105.1824113,107.8632583,0.3611691,0.70016892,0.51430752,0.65895954,0.86248492,0.78412463,0.45173598,0.17124333,0.28222731,Julio Urias,14765,628711
2023,Jack Flaherty,- - -,141.1,5.030660558,2.18181818,0.280858676,1.577830245,0.351758794,4.394191344,0.25181598,0.428571428,0.31961259,0.068181818,0.128787878,4.374680245,0.10768631,0.22677165,0.10393701,0.12283465,4.581173998,0.636469215,7.709884875,0.0746988,0.38554217,,97.95890152,94.84649907,99.23843093,100.1528468,0.28831169,0.66242661,0.43754879,0.61711712,0.84342688,0.75379126,0.3989071,0.17440499,0.2820913,Jack Flaherty,17479,656427
2024,Patrick Sandoval,LAA,79.2,5.083682171,2.31428571,0.26984127,1.506276199,0.340707965,3.868179862,0.212121212,0.45021645,0.337662337,0.038461538,0.102564102,4.04284044,0.1154112,0.22946176,0.09915014,0.13031162,4.254033489,1.215502309,9.497408516,0.05128205,0.35897436,,56.12034632,98.61918283,98.39259003,98.71038781,0.30861244,0.66447368,0.45844875,0.60852713,0.83663366,0.74773414,0.42105263,0.16655149,0.28196268,Patrick Sandoval,19447,663776
2021,Bailey Ober,MIN,92.1,4.191335971,5.05263158,0.256267409,1.202166131,0.296296296,4.556315787,0.211538461,0.33076923,0.457692307,0.100840336,0.168067226,4.014356477,0.11382114,0.25329815,0.05013193,0.20316623,3.821534782,-0.364979816,9.043827806,0.09505703,0.41825095,,75.30759346,84.10704607,106.4432249,104.7716802,0.3542654,0.70094937,0.50271003,0.63210702,0.86907449,0.77358491,0.42818428,0.16802168,0.28184282,Bailey Ober,21224,641927
2021,Alek Manoah,TOR,111.2,3.22388067,3.175,0.191066998,1.047761218,0.246212121,3.796899808,0.206521739,0.387681159,0.405797101,0.098214285,0.107142857,4.169513771,0.12628726,0.27668845,0.08714597,0.18954248,3.875690019,-0.573019138,9.136317583,0.05797101,0.3115942,,96.65262369,98.84197397,97.85764642,98.77998915,0.31180812,0.71484888,0.47804878,0.62721893,0.80330882,0.73582766,0.41246612,0.15555556,0.28184282,Alek Manoah,26410,666201
2024,Reynaldo López,ATL,109.2,2.05167178,2.94736842,0.227941176,1.194528903,0.297577855,3.019354309,0.234693877,0.387755102,0.37755102,0.099099099,0.063063063,3.719672708,0.11839814,0.25055928,0.08501119,0.1655481,3.908875294,-0.967682529,9.663696416,0.08783784,0.41216216,,91.34839045,95.70152047,102.3223392,101.1230994,0.32157676,0.70212766,0.48834499,0.56774194,0.86742424,0.75656325,0.43822844,0.16308764,0.28148578,Reynaldo Lopez,16400,625643
