Season,Name,Team,IP,ERA,K/BB,AVG,WHIP,BABIP,LOB%,FIP,LD%,GB%,FB%,IFFB%,HR/FB,xFIP,SwStr%,K%,BB%,K-BB%,SIERA,E-F,FA-Z (sc),Barrel%,HardHit%,xERA,Stf+ FA,Stuff+,Location+,Pitching+,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
2020,Kenta Maeda,MIN,66.2,2.699999794,8,0.168067227,0.749999943,0.208053691,0.80213904,2.99641933,0.203821656,0.490445859,0.305732484,0.1875,0.1875,2.629782189,0.17241379,0.32258065,0.04032258,0.28225807,2.921099429,-0.296419536,8.938978112,0.06962025,0.24683544,,74.80978261,99.39796541,107.2991862,106.6149542,0.40833333,0.70466321,0.52434077,0.48163265,0.84191176,0.67117988,0.39148073,0.15517241,0.32758621,Kenta Maeda,18498,628317
2021,Clayton Kershaw,LAD,121.2,3.550685006,6.85714286,0.221982759,1.019178103,0.28852459,0.71698113,2.997431379,0.184466019,0.485436893,0.330097087,0.117647058,0.147058823,2.873855516,0.16722038,0.29508197,0.04303279,0.25204918,3.095488828,0.553253627,11.38368979,0.06875,0.36875,,112.2823795,124.3710643,101.0090355,106.3977273,0.36,0.69398207,0.50442968,0.46341463,0.80811808,0.66849616,0.4324474,0.16002215,0.32724252,Clayton Kershaw,2036,477132
2019,Justin Verlander,HOU,223,2.582959818,7.14285714,0.17146433,0.802690638,0.218142549,0.88410104,3.267821139,0.18875502,0.359437751,0.451807228,0.124444444,0.16,3.176212717,0.1612529,0.35419126,0.04958678,0.30460449,2.951605261,-0.684861321,12.1412084,0.06813627,0.31462926,,,,,,0.37182203,0.69358974,0.51740139,0.55128205,0.77726433,0.68834081,0.45243619,0.16560325,0.32685615,Justin Verlander,8700,434378
2019,Shane Bieber,CLE,212.1,3.263736342,6.425,0.228287841,1.05494508,0.295366795,0.77586207,3.327039306,0.206959706,0.441391941,0.351648351,0.109375,0.161458333,3.227796898,0.14027149,0.30199765,0.04700353,0.25499412,3.358253765,-0.063302964,10.40447577,0.07468124,0.41530055,,,,,,0.3501006,0.6654107,0.47631976,0.51293103,0.85730464,0.70550982,0.40030166,0.18461538,0.32488688,Shane Bieber,19427,669456
2022,Andrew Heaney,LAD,64.2,3.061855791,5.38888889,0.208,1.082474269,0.278571429,0.78947368,3.978410417,0.194630872,0.348993288,0.456375838,0.088235294,0.19117647,2.921685419,0.17015469,0.35018051,0.06498195,0.28519856,2.573424428,-0.916554627,8.076340077,0.11764706,0.46405229,,92.73357558,92.90655738,101.9135701,100.6521858,0.40030211,0.67276888,0.50864422,0.5245283,0.79251701,0.66547406,0.39763421,0.15468608,0.32484076,Andrew Heaney,15423,571760
2022,Aaron Ashby,MIL,88,4.806818599,2.51219512,0.25,1.454545581,0.313043478,0.68468468,4.521522033,0.157676348,0.547717842,0.294605809,0.056338028,0.211267605,3.500001804,0.12070084,0.26208651,0.1043257,0.15776081,3.720162231,0.285296566,7.766980307,0.07755102,0.35102041,,35.3,107.0342635,96.80876055,100.5530175,0.32502831,0.57686454,0.43246753,0.54355401,0.85488127,0.72072072,0.42662338,0.20311486,0.3238157,Aaron Ashby,23550,676879
2022,Aaron Nola,PHI,205,3.248780488,8.10344828,0.21846554,0.96097561,0.289320388,0.73021182,2.580723685,0.198863636,0.43560606,0.365530303,0.062176165,0.098445595,2.76955927,0.12635735,0.29120198,0.03593556,0.25526642,2.802456815,0.668056803,8.803620497,0.07116105,0.3164794,,102.4120197,103.8264232,109.358868,107.9052649,0.37022016,0.65422696,0.4929253,0.60406886,0.84749709,0.74365821,0.43205002,0.19743337,0.32379072,Aaron Nola,16149,605400
2020,Brady Singer,KCR,64.1,4.056994177,2.65217391,0.218487395,1.165802924,0.26035503,0.72948328,4.077429538,0.169491525,0.531073446,0.299435028,0.075471698,0.150943396,4.049433645,0.0952381,0.23193916,0.08745247,0.14448669,4.290274764,-0.020435361,7.064159393,0.04519774,0.40112994,,58.72857143,98.35616822,100.9148598,97.98906542,0.29430894,0.58333333,0.41736695,0.59668508,0.89097744,0.77181208,0.42577031,0.22782446,0.32306256,Brady Singer,25377,663903
2021,Alex Wood,SFG,138.2,3.829327204,3.8974359,0.235849057,1.182692394,0.304945055,0.72942643,3.480130299,0.22459893,0.50802139,0.267379679,0.05,0.14,3.44000683,0.12482916,0.25982906,0.06666667,0.19316239,3.602516819,0.349196905,,0.05291005,0.4047619,,,105.7214286,100.9153525,100.0718924,0.32178218,0.65106816,0.46924829,0.57692308,0.8296875,0.73398058,0.44783599,0.1977221,0.32255125,Alex Wood,13781,622072
2022,Corbin Burnes,MIL,202,2.940594059,4.76470588,0.196452933,0.965346535,0.259100642,0.76791809,3.137183477,0.195071868,0.470225872,0.334702258,0.110429447,0.141104294,2.851540966,0.15088577,0.30489335,0.06398996,0.24090339,2.91118475,-0.196589418,9.549942017,0.05714286,0.34081633,,90.825,135.9135086,102.3094743,107.4386308,0.35700847,0.65418118,0.46120953,0.51383399,0.83355526,0.67284768,0.35064142,0.17043372,0.32131949,Corbin Burnes,19361,669203
